width_substrate_mm,width_imp_line_mm,length_imp_line_mm,substrate_height_mm,patch_height_mm,width_slot_mm,length_slot_mm,patch_width_mm,substrate_length_mm,patch_length_mm,frequency_GHz,S11_dB
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8339999914169,-0.047966481327591
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8350000381470,-0.044279104050634
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8359999656677,-0.040697445410517
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8370000123978,-0.037248459350375
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8380000591278,-0.033957538395684
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8389999866486,-0.030849222183247
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8400000333786,-0.027943840349268
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8409999608994,-0.025261943993554
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8420000076294,-0.022821753138201
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8430000543594,-0.020637418688448
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8439999818802,-0.018723348634380
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8450000286102,-0.017091681309254
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8459999561310,-0.015749683075432
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8470000028610,-0.014704595661096
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8480000495911,-0.013960714828597
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8489999771118,-0.013519652589372
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8500000238419,-0.013380089958764
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8509999513626,-0.013539902967175
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8519999980927,-0.013993753101869
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8530000448227,-0.014735212348712
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8539999723434,-0.015754096418834
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8550000190735,-0.017038820065085
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8559999465942,-0.018576657766372
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8569999933243,-0.020352759346512
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8580000400543,-0.022349445507055
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8589999675751,-0.024549367820062
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8600000143051,-0.026933896796728
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8609999418259,-0.029481278797602
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8619999885559,-0.032170022475546
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8630000352859,-0.034976875855498
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8639999628067,-0.037880983903443
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8650000095367,-0.040856126596091
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8660000562668,-0.043879278668677
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8669999837875,-0.046926830781151
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8680000305176,-0.049975093161475
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8689999580383,-0.052999113834626
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8700000047684,-0.055976735021483
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8710000514984,-0.058884756779421
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8719999790192,-0.061701915850098
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8730000257492,-0.064406004536594
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8739999532700,-0.066979982601475
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8750000000000,-0.069402315459004
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8760000467300,-0.071657954836504
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8769999742508,-0.073730566047118
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8780000209808,-0.075606460515451
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8789999485016,-0.077272438338715
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8799999952316,-0.078719920244782
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8810000419617,-0.079938741283382
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8819999694824,-0.080923336962209
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8830000162125,-0.081669366121993
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8839999437332,-0.082173101020027
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8849999904633,-0.082434297615164
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8860000371933,-0.082453587268447
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8869999647141,-0.082235745695654
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8880000114441,-0.081784568038783
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8890000581741,-0.081106633145786
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8899999856949,-0.080210810039790
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8910000324249,-0.079108352967364
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8919999599457,-0.077809312429935
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8930000066757,-0.076327117182900
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8940000534058,-0.074677548665181
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8949999809265,-0.072874339447214
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8960000276566,-0.070935874411739
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8969999551773,-0.068878240623641
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8980000019073,-0.066719301044664
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8990000486374,-0.064479207272653
44,3,9,1.6,0.035,2,8,42,38,29.3,1.8999999761581,-0.062175558581761
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9010000228882,-0.059828727267335
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9019999504089,-0.057457740601551
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9029999971390,-0.055082081538901
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9040000438690,-0.052720745704097
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9049999713898,-0.050391931860485
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9060000181198,-0.048114995446315
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9069999456406,-0.045907610244908
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9079999923706,-0.043786197746175
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9090000391006,-0.041765989661729
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9099999666214,-0.039862960546897
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9110000133514,-0.038090800011494
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9119999408722,-0.036461650666907
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9129999876022,-0.034988108789264
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9140000343323,-0.033678989490876
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9149999618530,-0.032544174286180
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9160000085831,-0.031589866627641
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9170000553131,-0.030823462563356
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9179999828339,-0.030246909933824
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9190000295639,-0.029865303522495
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9199999570847,-0.029678362144244
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9210000038147,-0.029686326388079
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9220000505447,-0.029887851967479
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9229999780655,-0.030278582074969
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9240000247955,-0.030855470257025
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9249999523163,-0.031611326154092
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9259999990463,-0.032539465047914
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9270000457764,-0.033630842943640
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9279999732971,-0.034875886609542
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9290000200272,-0.036263724117583
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9299999475479,-0.037782792870959
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9309999942780,-0.039419646372890
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9320000410080,-0.041161179964946
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9329999685287,-0.042993988606714
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9340000152588,-0.044902322739208
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9349999427795,-0.046871334438813
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9359999895096,-0.048885042815767
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9370000362396,-0.050928354121186
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9379999637604,-0.052985394471619
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9390000104904,-0.055039791893201
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9400000572205,-0.057076112861542
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9409999847412,-0.059078881286437
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9420000314713,-0.061033729424871
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9429999589920,-0.062925165168402
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9440000057220,-0.064740626647814
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9450000524521,-0.066466217100560
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9459999799728,-0.068089790184325
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9470000267029,-0.069598728095354
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9479999542236,-0.070985074820339
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9490000009537,-0.072238545394105
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9500000476837,-0.073350698407066
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9509999752045,-0.074313958066493
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9520000219345,-0.075124449688474
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9529999494553,-0.075775281659428
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9539999961853,-0.076265006258225
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9550000429153,-0.076592272430724
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9559999704361,-0.076754480841779
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9570000171661,-0.076754659214198
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9579999446869,-0.076592887622060
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9589999914169,-0.076273763965169
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9600000381470,-0.075802064969973
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9609999656677,-0.075182576413170
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9620000123978,-0.074422547078412
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9630000591278,-0.073530127417553
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9639999866486,-0.072513671282030
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9650000333786,-0.071383546657677
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9659999608994,-0.070150073791508
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9670000076294,-0.068824579397047
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9680000543594,-0.067419715750101
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9689999818802,-0.065946316845765
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9700000286102,-0.064418122095831
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9709999561310,-0.062848398165556
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9720000028610,-0.061251019479632
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9730000495911,-0.059637841487991
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9739999771118,-0.058024065889710
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9750000238419,-0.056422317328747
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9759999513626,-0.054845792241637
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9769999980927,-0.053307027118999
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9780000448227,-0.051818490630173
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9789999723434,-0.050392933553624
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9800000190735,-0.049040250130734
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9809999465942,-0.047771791111232
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9819999933243,-0.046597648452725
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9830000400543,-0.045526428977654
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9839999675751,-0.044567228454459
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9850000143051,-0.043726269445305
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9859999418259,-0.043009935522639
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9869999885559,-0.042424502401123
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9880000352859,-0.041973517072191
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9889999628067,-0.041659670642000
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9900000095367,-0.041486259274835
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9910000562668,-0.041452826859665
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9919999837875,-0.041560396070519
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9930000305176,-0.041807157428606
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9939999580383,-0.042191338238847
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9950000047684,-0.042710140967416
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9960000514984,-0.043357505297617
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9969999790192,-0.044130685741604
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9980000257492,-0.045021099628899
44,3,9,1.6,0.035,2,8,42,38,29.3,1.9989999532700,-0.046022890530241
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0000000000000,-0.047128779828601
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0009999275208,-0.048329976151543
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0020000934601,-0.049616101807700
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0030000209808,-0.050977749509662
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0039999485016,-0.052405054186605
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0050001144409,-0.053887796273974
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0060000419617,-0.055413998899480
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0069999694824,-0.056971940139622
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0079998970032,-0.058550775663948
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0090000629425,-0.060138310138968
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0099999904633,-0.061723342272363
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0109999179840,-0.063293810566582
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0120000839233,-0.064838817031117
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0130000114441,-0.066346890268864
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0139999389648,-0.067807379812841
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0150001049042,-0.069210415267782
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0160000324249,-0.070545728242692
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0169999599457,-0.071803785463077
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0179998874664,-0.072977334794155
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0190000534058,-0.074057572934557
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0199999809265,-0.075037615371373
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0209999084473,-0.075910924995121
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0220000743866,-0.076673384115522
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0230000019073,-0.077320145226989
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0239999294281,-0.077847666229497
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0250000953674,-0.078252838963708
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0260000228882,-0.078534635501375
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0269999504089,-0.078693570198783
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0280001163483,-0.078729065207943
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0290000438690,-0.078643074024309
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0299999713898,-0.078437477054835
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0309998989105,-0.078116065351782
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0320000648499,-0.077683552510601
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0329999923706,-0.077145176189219
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0339999198914,-0.076505772162733
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0350000858307,-0.075772748143317
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0360000133514,-0.074953822944601
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0369999408722,-0.074057057778377
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0380001068115,-0.073089731303920
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0390000343323,-0.072063132567846
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0399999618530,-0.070984685199271
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0409998893738,-0.069866597877485
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0420000553131,-0.068717540282239
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0429999828339,-0.067548295682187
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0439999103546,-0.066369623229979
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0450000762939,-0.065191422694191
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0460000038147,-0.064023921105413
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0469999313354,-0.062878779399140
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0480000972748,-0.061765319608369
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0490000247955,-0.060692778462246
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0499999523163,-0.059671709876835
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0510001182556,-0.058709920794380
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0520000457764,-0.057816768348423
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0529999732971,-0.057000370983570
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0539999008179,-0.056266640972774
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0550000667572,-0.055623668458130
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0559999942780,-0.055076212674698
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0569999217987,-0.054630600845213
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0580000877380,-0.054290601894945
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0590000152588,-0.054058884982444
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0599999427795,-0.053939745295058
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0610001087189,-0.053933325560662
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0620000362396,-0.054042469770099
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0629999637604,-0.054264863832466
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0639998912811,-0.054601351365622
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0650000572205,-0.055050926505801
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0659999847412,-0.055608925447217
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0669999122620,-0.056273480947520
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0680000782013,-0.057040172965920
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0690000057220,-0.057903722735723
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0699999332428,-0.058859568199882
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0710000991821,-0.059899508958369
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0720000267029,-0.061018755968284
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0729999542236,-0.062207871021425
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0739998817444,-0.063460720940562
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0750000476837,-0.064767680485627
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0759999752045,-0.066120290981890
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0769999027252,-0.067510235371296
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0780000686646,-0.068926165328518
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0789999961853,-0.070359507805477
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0799999237061,-0.071801268588583
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0810000896454,-0.073241489915856
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0820000171661,-0.074669295352174
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0829999446869,-0.076077006273063
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0840001106262,-0.077454978377064
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0850000381470,-0.078793570907496
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0859999656677,-0.080084310686481
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0869998931885,-0.081319243219311
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0880000591278,-0.082490486308416
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0889999866486,-0.083590687233459
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0899999141693,-0.084613578958391
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0910000801086,-0.085553363166458
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0920000076294,-0.086403797357892
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0929999351501,-0.087160667340578
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0940001010895,-0.087820270335814
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0950000286102,-0.088380925699232
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0959999561310,-0.088837838004736
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0969998836517,-0.089191858247599
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0980000495911,-0.089441175179968
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0989999771118,-0.089587610298256
44,3,9,1.6,0.035,2,8,42,38,29.3,2.0999999046326,-0.089630230143279
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1010000705719,-0.089572782892543
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1019999980927,-0.089417329333503
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1029999256134,-0.089167431093233
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1040000915527,-0.088827574851122
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1050000190735,-0.088402713044360
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1059999465942,-0.087899212671598
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1070001125336,-0.087321816121003
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1080000400543,-0.086679339243985
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1089999675751,-0.085978381643459
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1099998950958,-0.085226527725131
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1110000610352,-0.084432799223104
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1119999885559,-0.083605111285052
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1129999160767,-0.082753368706693
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1140000820160,-0.081885822340461
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1150000095367,-0.081012233490974
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1159999370575,-0.080141765160802
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1170001029968,-0.079282478660805
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1180000305176,-0.078445520657077
44,3,9,1.6,0.035,2,8,42,38,29.3,2.1189999580383,-0.077638876915589
